Name,Website URL
Duke Toastmasters Club,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20161214T120000Z
Registrar's Office,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-eda957bb-00004121demobedework%40mysite.edu
Live for Life (LFL),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78f8b9ee-000015bcdemobedework%40mysite.edu
School of Medicine (SOM),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-584ad555-0158-5442086c-000020eddemobedework%40mysite.edu_20161214T153000Z
Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20161214T163000Z
Libraries,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-dfc2b0d8-0000105bdemobedework%40mysite.edu
Duke Scouting Association (DSA),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-584ad555-0158-68f03b3c-00005a57demobedework%40mysite.edu_20161214T220000Z
Duke Catholic Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-4f40a47f-014f-423c3769-00006f4cdemobedework%40mysite.edu_20161215T010000Z
Muslim Students Association (MSA),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56517d87-0156-6b626a94-000023c5demobedework%40mysite.edu_20161216T174500Z
Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-578a9cb9-0157-8b3a4dbf-00003854demobedework%40mysite.edu
Law School Alumni,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58226419-0158-282db042-000037d4demobedework%40mysite.edu
Duke Performances,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-554f97e5-0155-5063553a-00003de3demobedework%40mysite.edu
Athletics,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d8609343-0000227edemobedework%40mysite.edu
PRATTically Speaking Toastmasters Club,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-30d65c14-0000534edemobedework%40mysite.edu_20161221T170000Z
Student Loans,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-da4ca803-0000355edemobedework%40mysite.edu
Divinity School Duke Center for Reconciliation,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-c2f41cad-000031e5demobedework%40mysite.edu
CFM - Division of Family Medicine,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-55e441e6-0155-efbccd07-0000643bdemobedework%40mysite.edu_20170110T223000Z
Career Center,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3ce3cd4-00001bc9demobedework%40mysite.edu_20170111T183000Z
Pratt School of Engineering,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-df06086b-00006375demobedework%40mysite.edu_20170112T130000Z
Center for Documentary Studies (CDS),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-dfd26673-0000114edemobedework%40mysite.edu
Panhellenic Association (Panhel),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57e1e0ef-0158-03d55fe7-000013a0demobedework%40mysite.edu
School of Medicine - Office of Biomedical Graduate Education,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-d5b6e71e-000002dademobedework%40mysite.edu
Master of Fine Arts in Experimental & Documentary Arts (MFAEDA),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-0a7754ab-00000d84demobedework%40mysite.edu
Mechanical Engineering and Materials Science (MEMS),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57b3e626-0157-b4bc131f-0000343cdemobedework%40mysite.edu
Nicholas School-Career Services,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58b452ba-0158-b68912e5-00006bdddemobedework%40mysite.edu
Computer Science,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-dff09d9f-00001859demobedework%40mysite.edu
Mary Lou Williams Center for Black Culture,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56fd4248-0157-050e582c-00006e8edemobedework%40mysite.edu_20170120T180000Z
School of Nursing (SON),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-572e6f67-0157-3493b032-00003517demobedework%40mysite.edu
Law School,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-588c944a-0158-b10491db-00006801demobedework%40mysite.edu
Center for Multicultural Affairs,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58f34bfa-0158-f3bca1ea-00001935demobedework%40mysite.edu
Music,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-565478e9-0156-562ae3d2-0000435fdemobedework%40mysite.edu
"EDGE: Center for Energy, Development and the Global Environment",calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d38765c3-00002e2cdemobedework%40mysite.edu
Sarah P. Duke Gardens,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56fd49ba-0157-0b21527a-000044c8demobedework%40mysite.edu
Immunology,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0157-fc271979-000060d5demobedework%40mysite.edu
Molecular Genetics and Microbiology (MGM),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0157-fc29a1b8-0000617fdemobedework%40mysite.edu
Provost's Office,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-576e6ec6-0157-769dccd9-00003e69demobedework%40mysite.edu_20170312T050000Z
Philosophy,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-588c944a-0158-abcdeefd-00007eb8demobedework%40mysite.edu
School of Medicine Faculty Development,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d3930139-0000310cdemobedework%40mysite.edu_20170418T040000Z
